annotation_order,review_id,language,review_text
24,bebbf5e7fd93cc83,English,"For visa renewal pls take care, I have typed the correct details while submitting application and in visa my name came instead of my sons name and designation Bank clerk for my 11 year old. Also Very bad attitude from all the GDRFA officers I met and they said its your mistake and you need to pay. There is no place to complain even. I wonder hearing that they said ""its the computer who approved"". Finally I spend the same money again to modify the details."
25,95b443d5c526d953,Arabic,تطبيق غير جيد التطبيقات سابقا على سمارت بأس افضل
26,b446677e544ace2f,English,"Very helpful,  Perfect app I am looking for ...."
27,d28959d7563d10b8,Arabic,برنامج مميز و يستحق الف نجمة و كما عودنا حكام الإمارات على براعة الإنجاز و الإبداع في كل شيئ
28,76063070a73b2292,English,many times errors while creating account please fix it 🙏
29,d2ccbcea76d722e1,English,"Not able to make payment, just loading without proceeding to card details"
30,e32d3bae6a3a9bbe,Arabic,سهل الاستخدام لمن يجيد اللغة الإنجليزية ولدية خبرة في استخدام التقنية الحديثة
31,59b144d81c7cf3e1,English,"Iqama & Friday khutba. Previous app provided iqama timing centre focused and it was easy to access the Friday khutba translation 

I would request that these issues be resolved as I am facing issues accessing these services."
32,ca0d393cc3621c99,Arabic,تطبيق متميز. تطبيق ممتاز ومتميز جدا يجب على كل المقيمين بدولة الإمارات تحميل هذا التطبيق
33,589b596039e36004,English,"I am unable to sign up, because i am unable to scan back side of Emirates ID, even camera quality is good everything is good. It stucks on the same screen"
34,67348a3ec5e61838,Arabic,اعذروهم شعب اقلية في بلده يشكل 10% من مجموع السكان فاللغة الاولى للبلد هي الانجليزي تليها الاوردو ثم الفارسية واخيرا العربية
35,a1d312a3c0a57bc9,English,I want to apply Residence visa can i apply it will supportive?
36,5044022fd1e39318,Arabic,شكرا جزيلا للخدمات المقدمة برنامج رائع
37,0c8816f80ba66ffc,Arabic,شكرا عالجهود المبذولة، نأمل في إضافة ميزة الدخول عبر البصمة/مستشعر البصمة
38,b0b7a1324b33eabb,English,"informative, pleasant, practical & handy Main Missing services, 1- Update Establishment 2- submission of labor contract 3- Submission of offer letters"
39,2e9ae54b6f9654db,Arabic,هل يوفر وظائف للسعودين وهل الوظائف المعروضه تشمل امارة دبي؟
40,82efeea769824df3,Arabic,جيدة جدآ مزيدآ من التقدم والاذهار
41,dda0df733714d6bb,English,give one option in this application residence holder can renew our visa and emirates id inside application
42,e272ec35bdedd281,Arabic,في خلال. لازال الخلا موجود في داخل التطبيق مش مش قادرين انحط صوت المؤذن يطلع فراغ و الاذان مش كامل
43,eb19bc8a25cf51c9,Arabic,التطبيق معقد وما يفتح معاي قبل كان أسهل
44,51e9ce151d05e5e1,Arabic,تطبيق لايعمل بنظام الاندرويد ودائم التقطيع والتوقف ....
45,2f75e11e7bca699c,Arabic,لماذا التطبيق يشترط لمن يريد استخدامه وضع قفل على الهاتف نفسه!!!!!! ليش تتدخلون في خصوصيات العالم حط لك باسوورد في التطبيق وخلاص
46,57bf0781283bdf8a,English,thanks RTA after long  time get a nice good free GPS navigation....
47,4bdb9549927d2410,Arabic,ممتاز جدا لكن ارى في الاونه الاخيره كثرة التحديثات بين الحين والاخر
48,18b80084879e923b,Arabic,تطبيق عملي سهل وميسر... دبي دائما الاجمل
49,1e77986b3ce89504,Arabic,كلمه فاشل قليله على هذا التطبيق من صعوبه التسجيل وحتى بعد الاتصال. حيث يتم الرد خلال اسبوع عمل و من أربع أيام ما في حد اتصل
50,ec0b81b72d2cfa0c,Arabic,"شكر واجب. كل الشكر و الإحترام و التقدير للمؤسسة العريقة الهلال الأحمر الإماراتي للمساعدة في اعمال الخير.
وافر الإحترام"
51,56a756d3d20476c6,Arabic,ما اقدر ادفع فاتوره كهرباء برقم الفاتوره فقط
52,2cade3219e79f87b,English,"Certificate not printing after giving otp, app automatically closes."
53,916f3403fbd0cced,English,Love the app. I always use this ago for my payments.
54,eca545fd74f8700f,Arabic,للاسف ولا مرة فتح عندي ودايما يسكر بشكل مفاجئ ولا يعطي اي خيار غير بصمة الوجه .. ارجو المساعدة
55,2692806ee8106d7c,English,"AllhamdulliAllah, the best way how I started my Ramadan and waiting for the 6 days of shawal!!Shukran TAMM."
56,96ade3af79216f15,Arabic,يحتاج تحديث و تطوير والاهم طريقة الدخول تقليدية يجب التحديث واضافة الهوية الرقمية
57,8b9952d28554466f,English,"After November update, APP has stopped loading. I have sent many feedbacks but still waiting for action. It was good APP when it was working."
58,f7cffd49282a8e1e,Arabic,تطبيق اجباري يكون موجود معاك ،، تطبيق الهوية الرقمية يستاهل كل هل الأهتمام لأنه يعرف عن شخصيتك اذا نسيت لسانك👍🏽💛
59,e6d32401ec5d32a7,Arabic,البرنامج لا يعمل مع جالكسي اس 5 الرجاء اصلاح العطل
60,4af6f5d093e68a0e,Arabic,بلادنا غير و شيوخنا غير الله يديم النعم و يرزق شيوخنا الصحة والعافية والعمر المديد
61,d6e3f059f4760a45,Arabic,هذا التطبيق جيد جدا ويساعدك على الطريق
62,71b2f08cfb1b5b72,English,Worst service on earth. Spend 4 hours trying to pay for parking with no result
63,be7e879872ac0ffc,English,The worsts apps ever! i have my account when i try to login i can't then i try by my ID card they send me code to sign in when wrote that code in box he say incorrect. Even i use my local number they send me OTP I can't sign in 🤨 how can i apply for my return to UAE ?
64,bb7bd205c978568a,Arabic,تطبيق يخذلك في الاوقات التي تكون في أمس الحاجة له...هذه المشكلة موجودة فيه منذ اول سنة لتأسيسه حيث انا الخوادم لا تتحمل ضغط المستخدمين في اوقات الذروة
65,fb92e0fd711ce881,Arabic,اسرع وأسهل ومضمون شكرا شركة طاقه بوظبي الحبيبه
66,a12ed7778d6f1674,Arabic,تأخير في إرسال الكود عبر الايميل، بطيئ
67,8d0914778b20fc04,English,Crashes when I click on next to view more weather info
68,c47f281351ed74eb,English,This app is totally a mis i want to apply for data flow but this app is not working and profile cannot be updated?!.
69,ee562b21e7cca4ea,English,"Amazing app... Its a life saver definitely recommend this app,"
70,71c49783eaee8035,Arabic,الموقع لايعمل لدي للعلم أمتلك أيفون أكس 6
71,b34037dcbac65eb8,English,Best App in the world !! Perfection at its best !
72,959da1b6961a4195,Arabic,خدمه جيده جدا جدا والله وسريعه
73,d8e73df766caf430,Arabic,في مشكله ف التطبيق لا يريد تسجيل البيانات
74,830240fbe08883e8,Arabic,كل فتره يعلق مأمنه فايده صراحه
75,19b040d8a3bee52e,English,Thanks Dubai police for this app ❤️❤️
76,4cd75528f149436d,English,"Horrible. The new update for parking payment is horrible, the previous location-activated version was better. Now i have to walk to the nearest sign to figure out the area code. Might as well just send an sms."
77,53d0ab54fce8624e,English,unable to select nationality option while checking File Validity through Passport.
78,8559ec8d68bc0c28,English,Working very good but we need still more features...
79,fbcf11d253206267,Arabic,انصح بتحميله يدل جميع طرق الامارات
80,cdd5e047a4b2156a,English,Waste of time earlier the app was much useful now drastically changed
81,5c858f8c59737832,Arabic,التطبيق لا يعمل عند محاولة إظهار البطاقة اخرج من التطبيق!!
82,2e5b56bf274e9456,Arabic,توفير خصومات للمواطنين ويجب التشجيع عاى الدفع ان لاين وهذا لا يتضح لديكم يتم خصم مبلغ نظير الدفع ان لاين
83,ec65cfcec325f535,English,I am not satisfied with this service 😔😔
84,f61295a6c8bf6099,English,Parking search is not working. It’s a pain to pay for parking - no search is working
85,15b2e5cde20538ae,English,New update hate. I hate the new update! You can no longer see the nickname you have set for each bill in the transaction history. It just says Etisalat post paid or Dewa bill for all my bills. That is very annoying. PLEASE RETURN BACK TO ORIGINAL WAY OF HAVING NICKNAMES VISIBLE IN TRANSACTION HISTORY
86,e4e752fe7af4ddea,Arabic,حرام والله برنامج حكومي لازم يكون قوي جدا ضيعت وقتي ع الفاضي
87,ee6ff77589c93be5,English,IT IS NOT WORKING WITH ANDROID
88,f100d0da323b35ec,English,"Nice upgrades from time to time, and really helpfully"
89,6fd8b111ce7164f9,Arabic,برنامج ممتاز جدا فقط بحاجة لإضافة مزيد من شركات التوصيل
90,0f43febf1887738a,Arabic,"وايد اعطال. سيء جداً جداً جداً 
ومن اول خطوة ما نقدر نسوي التالي."
91,2c4072fa645bb279,English,not working after the update as i login its not opening rather saying update the app through app store. this is happening after the update only before it was okay....
92,4d6b2ddb0aceb541,English,Very Nice & Gratefull Location Map
93,e1d6c64e414233d7,Arabic,جزى الله خيرا كل من كان له صلة حول انشاء هذا التطبيق الأكثر من رائع
94,65f4874290d2034f,English,Latest update has caused issues with the application. Unable to authenticate or get access to government services
95,27fc27408b6b6199,Arabic,الشامل. بالمختصر منصه تختصر المسافة والوقت والجهد
96,bc87c40d9db35171,English,It shall cover the entire uae...not dubai alone
97,fa4b8df116c9eb3f,English,Very good App for information I like it Very much
98,c9bfc71107163535,English,How to get digital nol card for Samsung phone?
99,01f36c5d528d695e,English,why is dis app never working????
100,0debbeaafab7c479,Arabic,ما المقصود بشريحة الأمان المطلوبة في الجوال لكي يعمل التطبيق، وكيف لي أن أعلم إذا كان جوالي به هذه الشريحة أم لا؟!!
101,105dfb397defcbd7,English,an extra charges were added to me in my bill even my utility is very very low
102,3707cdc9ad1aa2f2,Arabic,شكر. نشكر الموظفات في الجنسيه هل حسن التعامل
103,9511ffb02f1992b9,Arabic,خدمات متعددة لكن غير فعالة. التطبيق يحتوي على العديد من الخدمات مما يبدو انه يشتت القائمين عليه بمتابعة الأخطاء الفنية. أحاول تقديم خدمة لمدة تقارب شهر لكن لا جدوى. اتواصل بشكل مستمر مع فريق الدعم الفني و لا يوجد حل لهذه المشكلة التقنية البسيطة، يتم اغلاق كل شكوى ارسلها بدون اي تغيير او تحسين في التطبيق. المؤسف في الموضوع ان المشكلة متواجدة على التطبيق و على الموقع الالكتروني. مصلحتي متوقفة على تخطي و تعديل هذه المشكلة.
104,565629a4ef8b5cdc,Arabic,الذيد. بصراحه المركز  الصحي  في  الذيد  كذا موظفه مو موظف  في الاستقبال  يمشون  على العنصريه  وماعندهم  حتي  احترام  للناس  الوافده والمواطنين اصحاب  البشره السمره  وهذا  الشي  تكرر معاي  انت شخصياً كذا  مره  مو مره وحده  واذا انا  يايه  قبل اي شخص  يدخولون الشخص  قبلي  وبدون  موعد  بعد وانا كذا مره  رحت وتكلمت معاهم بنفس  الموضوع  حجتهم  شو  اونه  انا غيرت له  الدكتور الي  هو  حاحز  عنده موعد  والقهر  يكلمون المريض  بسلوب  جداً  وقح كنه المريض  ياي   يشحت  من عندهم    حتى  الي  مخلينها في  الاداره تي  وتتكلم  بسلوب  وقح جداً اتمني  انه  الخدمات الصحيه  اشوف حل  لهاي  الامور العنصريه فمركز الذيد الصحي  ويتفاهمون  مع الي مخلينهم على الاستقبال البنات تحديداً الان اسلوبهم وايد  وقح بدون اي  احترام مع المريض
105,931e45977a825971,Arabic,ممتاز جدا جدا جدا مزيد من التقدم والنجاح الدائم
106,e5a2f9407a66cbe5,Arabic,اتمنى انه توظفون شوي مبرمجين محترفين يسون لكم البرامج بدل هذي البرامج الي كلها اخطاء
107,b3d39ebb228bdc2e,Arabic,البرنامج سيء في الاستخدام وما يفتح من بعد التحديث
108,f7a134fef7253787,Arabic,هاد التطبيق وووبس سهل مرتب وسريع لا وجع راس ولا صدعة بعطيه نجوم سما كلها بعد💪💯👌 فديتكم يا هيئة الطرق
109,c26404c94e86d8d1,English,Awesome app use easily for navigate
110,57d22273ee8b9cb1,English,They are best police in the world
111,e834bd00a094b8bb,Arabic,والله زين بيعرف الواحد مصروفه الشهري بدون عناء سهولة الدفع الفواتير
112,8d88f01151041931,English,Very easy to use specially for people services against crime and harrassment
113,b76dac41f151e1d4,English,"Full of bugs. When needed login request , it never show up. Maybe 1 out of 10 times you try to refresh then it will show up. What’s the point of using this app? Just let us use otp from phone, very stupid"
114,20521c6288751a99,English,Clearance move out card payment does not work
115,5dcb2dde266ef9bc,English,"With recent update, the option for payment with bank HSBC not functioning. This is same for SEWA bills and parking subscription renewal.Kindly look into this."
116,473bba80b810f987,Arabic,التطبيق يظهر دائما علي الشاشة بطريقة مزعجة
117,fea705035617a967,Arabic,التطبيق لا يعمل على موقع MOI
118,c5f6216f915b9251,English,"the old version was better 🤦‍♂️ it lags more, crashes often, and many times i am not able to open the app in the first place"
119,f43d095d1a5e948b,English,I love uae❤️. Best for uae people ❤️
120,2609064332f0e27f,English,"Unable to know my password which i forgot.. Even after giving both email address and id.. It has given me one chance then saying account block and contact sewa. Pls make it simple.. Not so much strict. Forgetting passwords, ids, email address is very normal.. There must always be options available to manage if 3 out of 4 ids are correct and known to consumer. After single chance it rejected the login."
121,949bcc4c0b6aa34b,Arabic,ممتاز ماشاء الله ربنا ييسر لكم الامور
122,b422a22c40d6f911,Arabic,برنامج جميل جدا ومفيد كثيرا لمعرفة الطرق والأماكن أشكر جميع القائمين على هذا البرنامج الرائع
123,39d05abe89cc1939,Arabic,ال. التحديث الجديد دايما يعلق وبدون توقيت الأذان والأقامة
124,77fd3f9132652817,English,Best of all best service.. Thanks MOHRE!!! MABUHAY!!!!!
125,ec4b86c5a59f120d,Arabic,التجربه 0/٪ التاخير عند الدخول للدكتور تأخير عند اخذ الضغط تأخير تلقي العلاج مستشفي شعم
126,f0235436ef85c080,Arabic,شكرا جزيلا علي هالبرنامج النافع لكل مواقع دبي بوضوح اشكركم جداً
127,889d531ea5b683b9,English,"Im using same password on website that I changed in the App it gives incorrect log in details, Fix your application it has alot of errors, or lets us pay through website, thank you for resolving the issue"
128,6137af2f0087447f,English,"Spectacular!!!. Excellent app, Great Support, made my work very easy...thanks 👌"
129,ef5c595c9da9fa1b,Arabic,"برنامج ممتاز وعملي ومفيد لزوار دبي,, ربي يوفقهم"
130,56ea8222bfe34f09,English,not working. the app tells me there is update and there is nothing
131,c38e5dc531cf6300,English,Very useful. Easy to use and very helpful for traveling within the city of Dubai.
132,de0e5449603d8e9b,Arabic,انا من الكويت لما اسافر دبي هذه البرنامج يسهلي الوصول الي كل مناطق الامارات الي الامام والمزيد من التقدم
133,fbea3776f60b1ea9,English,"There's a scan document error due to which I can't create my account. I need my account to activate all my other apps. Even in the excellent lightening conditions the app is failing to scan the EID. Have tried restarting the phone, clearing the cache of the app and even reinstalling it didn't help."
134,a00e90853c5cc472,Arabic,الافضل. جزاكم الله خير يا المطورين اغلب الناس قامت تحافظ على صلواتها الخمس فالمسجد من التطبيق من دقة التوقيت والقبله
135,9be16dea68fa3dde,Arabic,دقيق. ادق تطبيق لمواقيت الصلاة في دولة الامارات
136,76bb7b69103622cb,Arabic,تعديل. لا زالت هناك مشكلة فالأذان يقطع ولا يكمل الاذان كامل
137,e222b2ba7d89552f,English,Hanging garden. App is the most difficult to set up and link yo UAE passport
138,e7bd8083c9bb5797,English,unstable and taking too much time to load.
139,ed82bbf6cb3dc6d0,English,"After updating the app is not opening and crashing without any reason, please resolve this issue"
140,650f8912fdad4c60,English,good nice it help for us
141,7fd94d278b05456b,Arabic,لا يتم تسجل الدخول في الموقع ارجو حل مشكله موقع
142,eb3777fafbdeb0ae,Arabic,التطبيق مفيد جدا جدا خصوصا انك تستطيع استخدام الخرائط بدون الحاجة إلى إنترنت
143,a2df56d9e1dff535,English,"POOR APPLICATION. I can’t even see my Parking Time like how many hours or minutes left in my parking. Like seriously right now 2025 in going on…. This is not 2010 or any other year. Mostly every country developed there applications very user friendly but this RTA DUBAI. Application, fed up of using this application slow process, under developed application. Kindly check with you I.T. Guy and tell to resolve this issue. Mostly public is suffering of this poor application."
144,1d0a093884d49083,Arabic,اخي اللذي يحتاج مساعده كيف تقومون بمساعدته  والشخص موجود في تركيا مثلا
145,66b890a44cb6530b,Arabic,برنامج يسهل علي الكثير من الأشغال الي لازم اخلصها في الجوازات 👍
146,a835971d091072f4,English,"From month Cannot print previous applications. Still working on it, feeling very Sad Still showing ""something went wrong, we are working on it, and we will get it fix soon"
147,33a04c91bcc64363,Arabic,برنامج سيئ ياخذ منك وقت للتسجيل والمحصلة خطأ في التسجيل بدايتها سيئة فكيف باقي الموقع شكرا. سيئ جدا
148,b6a0f5a39f02d36c,Arabic,تطبيق ممتاز يسهل عملية التنقل في أرجاء الدولة بسلاسة ويسر
149,045c2c193761ce58,Arabic,احلى تطبيق فعلا بس نتمنى نشوف عقود الاعاره المؤقته ولبعض الوقت وشكرا
150,416387f3f94ae3e7,English,Quick to load and very helpful for checking flight status on the go.
151,5a618f71d5a1cc33,Arabic,شركه جيده ولكن لا تختار موظفيها بعنايه سائق باص رقم 71145 فتره مسائيه لا يتعامل مع الركاب باحترام اتمني نشوف حل للموضوع ده
152,86f442bcf9490deb,English,"Do you want to renew your family visa? This app is awesome, no need to go to any typing center or else. Just create your login and boom... you can do wonders 😊"
153,96bd72b296c8c173,English,3rd class verification method 100 try failded again to sughest kiosk qll other apps working prefect poor method and quilt
154,81e1d0fb583fb47c,Arabic,يعطيكم العافية جماعة دائرة النقل و البرنامج حلو و اقترح ينضاف جدول الباصات و المواعيد في قوقل ماب لان اغلب الناس يستخدمونها و لانها اسهل و موفقين 👍🏼
155,05f294f1533f3122,Arabic,تصحيح. ارجو تصليح البرنامج لانه لايعمل لدي
156,194daed92fefe355,Arabic,شكراً RTA. البرنامج روعه و فنان، بس عيبه ما يطلع كل الاماكن يباله تعديل من هالناحيه
157,feb3717c07675271,Arabic,شکریہ آر ٹی اے. ماشاءاللّٰه بغیر انٹرنیٹ کے کہیں بھی جانا مشکل نہیں
158,e5241e3970c06d0c,Arabic,ماذا استفيد هاذهي البطاقه وهل يسمح لي ادخال المستشفى بديل عن بطاقه للهوية وهل تريدون فلوس
159,909556c87e7fe9f7,English,I use this app for fine search & thats good
160,c413e0e4858ddc87,English,excellent for ud dating driving license ❤️
161,04a54598802db4f1,English,Not option to make an account the app inside show only to enter the username and password but this is my first use how to?
162,58466d3d422adab2,English,you can't perform any payment via dubai pay. i tried multiple cards not working. although i used same cards today and worked fine
163,f33cce790e4a08f5,English,Old is gold. New is garbage
164,6c09d576360d0568,Arabic,تطبيق رائع جدا وسهل الوصول اليه تحياتي لطاقم العمل ومشكورين على الجهود المبذولة لراحة الجمهور
165,4efb9653e2cfb04c,English,its very Good App for every who in UAE
166,84f69df2a8b19cc3,Arabic,"التطبيق يتوقف عند شاشه ""التحقق من بصمة الوجه"" و لا استطيع النقر على زر ""تابع"""
167,cb6290da43106872,English,Easy to use and very big help
168,a29287f210101bbd,Arabic,ممتاز جدا جدا وياريت نكون على تواصل دايما
169,ee028e2fb2109a0d,Arabic,صحه دبي بصراحه جدا مميزه بعملها و مستشفياتها بخاصه مستشفى دبي
170,7cc2fc60e9c1b50d,English,"Can't register, been waiting for my ID for almost a month, and was told to use the app for the ""electronic version"" of the ID till it's printed and received. Uninstalled."
171,35b77c0b9c1d2da4,Arabic,أسوء خدمة عملاء في دولة الإمارات شئ مخزي جدا الصراحة كول سنتر لا رقابة عليه ابدا و الموظفين فيه قمة في عدم الاحترام والتقدير و افتقار فظيع للمعلومات و التدريب و التنسيق مع الجهات المعنية باستفسار العميل؛ داخل إدارات المؤسسة. يا رجل اصرفوك و اسحبوا الخط في وجهك دون اي خوف! والله صحيح من أمن العقوبة ساء الادب كول سنتر لا يليق بكافتيريا بما بالك بؤسسة حكومية والله من هو قائم ع خدمة العملاء في هذة المؤسسة يأكل مال حرام لانه لايخدم شي ولا رقيب ع شي هدولا ايستاهلون يتم فضحهم في البث المباشر مع بوراشد
172,47cc9c8598b096c3,Arabic,غير سلس. البرنامج غير سلس في معاملات نقل الملكية وغير واضح
173,ada00df37efbf5f3,Arabic,برنامج ممتاز ...يرجى اضافة خيار في قائمة استلام رخصة مركبة.... استلام عن طريق جهاز تجديد ... بعد اجراء التجديد عن طريق التطبيق حيث لا يوجد خيار سوى التسليم عن طريق شركات البريد .حيث اني استطيع التجديد عن طريق التطبيق و طباعة رخصة المركبة عن طريق الجهاز ..وشكرا
174,58895a112ada2027,Arabic,بعد التسجيل بيطلب ادخل رقم معين على الهوية الإلكترونية ومافى موضع معين لكتابة الرقم فى نطبيق الهوية ايش الحل
175,8b3832a3d5da2fac,Arabic,ممتاز ويفر الكثير من المعلومات والمواقع في إمارة دبي شكرا
176,264f8d8d3578e33c,English,Very informative and helpful app I like it. And I recommend to use this app.
177,bbf32d3cfa6baf1d,Arabic,البرنامج لا يقبل وجه البصمه لا يتم استرجاع الحساب
178,35e4a1f1f433e8a5,English,Can download but not use. I can download the app but am unable to sign in using the only method possible-UAE Pass (which is working fine & is updated).  “Unable to proceed-incomplete data.”
179,b13178fc14e5ae9d,Arabic,إضافة الهوية الرقمية للدخول سهل وبسيط
180,f95fa5a7f3404366,Arabic,تعذبت من اسبوعين.. وما زلت وقت كتابة التعليق... نتمنى تحديث تطبيق بأسرع وقت..
181,142c8adee21aed6b,Arabic,برنامج سيئ لايقبل التسجيل ولا الدخول
182,91fbd9f641d6393b,Arabic,ما استغني عن خدماته  الحمد لله   كل اسبوع اجي الإمارات العربية المتحدة  واستخدم البرنامج جميل جدا
183,07a6507d81981aa6,Arabic,يسهل لك كل الطرق ممتاز جدا جدا
184,7b119cd5e5d3718b,Arabic,حلو اختصار تعبئ الرصيد بدون اﻻتصال ومعلومات مفيده
185,c89d5599253a6ed8,Arabic,تطبيق سيء ، حاولت التنزيل اكثر من مرة ما ينزل قبل كان يعمل بشكل جيد وطلب مني التحديث ولا قدرت اسوي التحديث وصار لي شهر مغير صورتي في الهوية ولين الحين نفس الصورة تواصلت معاهم يقولون التطبيق عند شركة تحالف وتحالف يقولون الموضوع عند الهوية
186,ca343e72c989c4ff,Arabic,شكر. الخدمات جدا ممتازه اشكر القائمين على هذه الخدمات
187,1821f25020c79e25,English,HONEST REVIEW. I’m impressed with this application and the results which ease the process and make it more enjoyable and accessible. The team is working hard and they’re helpful
188,968aa38a1cc785a1,English,"Unstable. App keeps freezing, ton of errors, failure to show time for scheduling in some fields randomly.. extremely annoying to use"
189,6c61cc2e4417d31c,English,its a wonderful app i urge to all use this app
190,7c19763793d9c39e,Arabic,بسم الله ماشاء الله تبارك الرحمن في شرطة دبي
191,21cf963310a9e500,Arabic,خدمة ممتازة جداً لكم كل الشكر والاحترام
192,a596ad0dbc6eed08,Arabic,من افضل البرامج ويعتبر تطبيق مميز ويستاهل 10 نجوم
193,6abe33683d20a69e,English,love the benefits . pleasure to be one of the members
194,d2dec84409754144,Arabic,السلام عليكم. إخواني..هذا البرنامج ممتاز .ولكن من فترة بسيطة خلال 15 يوم بدأ دائما يعمل إشارة جي بي إس ضعيفة..يشتغل دقيقة ويقف تاني ويقرر الاشارة ضعيفة .بخرج منه وأرجع أشغله علشان يكمل الطريق ولكن لم يكتمل ويستمر في الوقوف ويعكس الاتجاهات..أرجو التعديل ولكم جزيل الشكر
195,d7d4f16a2b874692,English,Best app but can't say exactly
196,eed57c6a1bd1b2dc,English,It is a good service overall
197,c352e694407f3011,English,The most important app for everyone in Dubai
198,68ee6eea2cddfb72,English,this is wounderful its clear to many things.now its help on my work responsibilities.
199,6253b142da39ba42,English,love this new features accident notification its very help for me being a delivery rider
200,f5a46afa35dc6600,English,Very good and convenient to use
201,89921437dc768216,Arabic,فخورين بالإمارات. فديت الإمارات فخورين فيها ♥️
202,649aeb46fa3b3df5,English,"Very poor directions, couldn't find most of the places."
203,84654eb4017b3b0f,English,Parking payment system has made life of citizens very difficult at Hanging Garden. need to hang this system and use simple method of payment. people those who come to hanging garding are totally confused of this stupid system of app payment.
204,94a3e925f935790a,English,I am unable to install app
205,029cbbf2cd7fbb58,English,it works with mobile internet only. not with wifi.
206,cd8fce1cff67e7af,Arabic,برنامج رائع جدا  وسهل ومايحتاج للنت اشكر RTA على هذه برنامج الرائع
207,32d55f6afa477fe2,Arabic,Bad app. من اسوأ التطبيقات التي استخدمتها في حياتي ولا تعكس للأسف الصورة المعروفة عن حكومة دبي وتوظيفها للمعاملات الرقمية في خدمة قاطنيها
208,b153a4aaa1edaa55,Arabic,هذا التطبيق لا يمكنني تجديد جواز السفر من خلاله و لقد قمة بحذف و تنزيل التطبيق اكثر من مره و عند الاتصال بمركز الخدمه لايجاد حل اجابة الموظفه بان الاجراء هو الدخول على الموقع الالكتروني لتجديد جواز السفر لماذا هذا التطبيق الموجود
209,6edfbfcd7d5bebf0,English,Outstanding Digital Service. UAEICP portal provides outstanding digital service with controlled user friendly step by step process to support people
210,d2ca5bda07271d2e,Arabic,جميل جدا ولا تنسى التحديث الاخير قبل الاستعمال
211,c78a8870e40645ed,English,"The app doesn't seem to open up for me for the last 8 months for me. Even after it's updated, no improvement was seen. Please fix."
212,e36f374706719e94,Arabic,التطبيق لايعمل في السعودية الا عن طريق التجوال.. لا يعمل على شبكة stc
213,a0aae3f4c154d115,Arabic,شكرا لكم على هذه المبادرة اعنكم الله لما فيه خير لهذا البلد
214,e951bfef59eee565,English,I want to thank nurse Sonya she is very helpful
215,60b5b556934a3c19,English,"Unable to log in. I am unable to log in with my credentials, which work perfectly on the website"
216,e468cc75502e15d0,Arabic,برنامج ممتاز. برنامج رائع ويشكر عليه
217,f50a3496ea18442c,English,Very intuitive and very easy to read while driving. Displays all the required information for a safe driving. Guided by voice also. Totally recommended. Its a 5+ !!
